game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,havoc,game_loc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
W (45-3),1,24,65.0,287,2,28,99,3,3.5,61,6.3,13,7,2,22,3,40,0,1,0.538,1,5.43,62.7,0.8,16.0,15.0,57.0,0.513,1.19
W (49-21),3,28,72.7,394,3,36,188,4,5.2,76,7.7,18,11,2,31,5,40,2,1,0.19,1,6.0,72.3,0.833,27.0,6.0,103.0,0.576,1.22
W (51-13),1,33,77.1,435,5,31,173,1,5.6,73,8.3,22,10,2,34,6,59,0,1,0.237,1,4.8,71.2,0.5,25.0,3.0,89.0,0.655,1.11
W (43-20),0,19,70.0,315,2,38,171,3,4.5,66,7.4,13,10,0,23,2,10,0,0,0.279,1,4.86,67.4,0.667,31.0,26.0,81.0,0.426,1.69
W (52-17),1,19,69.7,311,2,35,300,5,8.6,61,10.0,12,11,2,25,5,55,0,1,0.146,1,5.78,70.5,1.0,46.0,81.0,115.0,0.667,1.22
W (31-23),2,13,78.6,175,1,39,262,3,6.7,59,7.4,9,15,0,24,6,60,1,1,0.095,0,4.43,64.9,1.0,73.0,82.0,154.0,0.61,0.96
W (63-3),0,20,74.4,301,4,47,372,5,7.9,76,8.9,13,20,3,36,5,55,0,0,0.342,1,5.73,69.7,1.0,47.0,76.0,73.0,0.647,1.66
W (35-7),1,23,83.9,313,2,33,179,3,5.4,61,8.1,14,8,1,23,4,30,0,1,0.389,1,4.0,68.6,0.75,34.0,37.0,93.0,0.56,1.4
W (31-7),0,15,82.1,214,1,40,201,2,5.0,61,6.8,9,11,0,20,3,18,0,0,0.147,1,4.0,77.0,0.8,37.0,23.0,106.0,0.51,1.3
W (52-10),0,16,61.5,241,1,33,191,4,5.8,56,7.7,9,8,1,18,1,10,0,0,0.31,0,6.33,70.2,0.5,23.0,30.0,79.0,0.628,1.13
W (49-0),0,28,71.4,357,4,34,120,2,3.5,69,6.9,18,6,4,28,7,75,0,0,0.6,0,6.0,69.3,0.75,10.0,6.0,56.0,0.625,1.21
W (24-15),0,7,69.6,60,0,46,227,3,4.9,54,5.3,4,10,1,15,6,50,0,0,0.14,0,4.8,66.5,0.6,48.0,81.0,127.0,0.37,1.4
W (30-24),0,17,69.6,182,1,39,156,2,4.0,60,5.6,10,8,0,18,3,34,0,0,0.145,1,5.0,68.2,0.8,22.0,31.0,115.0,0.45,1.14
W (27-20),1,17,86.4,221,3,32,130,1,4.1,59,5.9,10,5,0,15,2,25,1,0,0.242,1,5.25,77.9,0.75,28.0,24.0,71.0,0.356,1.46
W (34-24),0,24,61.1,349,3,37,105,1,2.8,75,6.1,12,7,4,23,4,40,0,0,0.194,0,3.86,68.5,0.6,19.0,5.0,85.0,0.36,1.57
W (38-6),2,19,63.2,328,1,34,175,4,5.1,59,8.5,15,8,1,24,2,20,2,0,0.229,0,4.75,70.0,1.0,18.0,51.0,63.0,0.477,1.68
L (30-34),3,32,52.4,371,1,40,156,1,3.9,78,6.8,15,9,1,25,9,70,1,2,0.134,1,3.29,74.7,0.375,42.0,70.0,99.0,0.462,1.38
W (35-6),2,16,76.0,170,2,35,184,2,5.3,60,5.9,7,9,0,16,6,40,1,1,0.339,1,4.0,55.9,0.4,35.0,70.0,109.0,0.417,1.36
W (29-26),1,22,71.4,317,1,41,165,2,4.0,74,6.5,13,6,3,22,7,59,0,1,0.172,0,5.0,74.5,0.6,27.0,12.0,135.0,0.459,1.07
W (57-7),1,19,84.2,226,1,43,302,3,7.0,75,7.0,13,14,0,27,9,74,0,1,0.326,1,3.0,51.0,0.0,30.0,65.0,71.0,0.457,0.99
L (31-37),2,24,78.1,318,1,28,180,3,6.4,71,7.0,13,8,2,23,10,66,2,0,0.071,1,5.17,70.5,1.0,59.0,54.0,129.0,0.507,1.06
W (35-7),0,21,58.3,359,3,27,123,2,4.6,60,8.0,14,6,3,23,6,65,0,0,0.178,1,5.6,73.1,1.0,25.0,32.0,67.0,0.458,1.77
W (17-14),0,21,63.6,240,0,27,126,2,4.7,65,5.6,14,2,3,19,5,35,0,0,0.109,0,2.0,71.6,0.4,16.0,51.0,73.0,0.359,1.62
W (41-7),2,17,81.5,334,4,39,152,2,3.9,69,7.0,12,10,2,24,9,51,2,0,0.333,0,5.0,68.9,1.0,43.0,25.0,105.0,0.642,1.02
W (24-10),3,17,55.3,226,2,43,181,1,4.2,69,5.9,11,11,1,23,6,25,1,2,0.156,0,2.4,62.4,1.0,43.0,60.0,124.0,0.5,1.17
W (38-3),0,26,65.5,353,3,32,177,2,5.5,66,8.0,16,8,1,25,3,25,0,0,0.393,1,5.43,77.2,1.0,22.0,12.0,70.0,0.643,1.22
L (24-30),2,18,56.7,271,2,28,107,1,3.8,58,6.5,13,6,3,22,1,5,0,2,0.033,0,4.0,77.3,1.0,24.0,13.0,97.0,0.491,1.19
W (31-29),2,15,32,223,2,34,128,2,3.8,58,6.1,9,7,4,20,5,45,2,0,0.2,0,5.17,70.7,1.0,43.0,30.0,97.0,0.448,1.21
W (39-17),0,18,24,170,2,36,282,3,7.8,61,7.4,9,10,1,20,12,99,0,0,0.21,1,6.0,73.6,0.8,39.0,164.0,102.0,0.443,1.43
W (38-20),1,27,37,268,2,32,152,2,4.8,68,6.2,14,9,1,24,8,50,0,1,0.145,1,5.17,68.0,0.333,45.0,22.0,101.0,0.544,1.1
W (24-7),1,23,25,363,1,37,138,2,3.7,74,6.8,14,5,3,22,6,60,1,0,0.217,0,2.83,76.1,0.25,23.0,61.0,82.0,0.419,1.4
W (58-13),0,17,39,273,2,37,248,5,6.7,67,7.8,14,9,3,26,8,83,0,0,0.396,1,5.0,62.7,0.0,29.0,16.0,92.0,0.491,1.23
W (16-6),0,8,36,55,0,44,165,1,3.8,65,3.4,2,8,2,12,3,20,0,0,0.377,1,2.67,64.9,1.0,38.0,91.0,83.0,0.277,1.0
W (43-10),2,30,73.8,454,3,22,109,3,5.0,62,9.1,20,6,5,31,7,93,1,1,0.192,1,4.67,73.0,0.333,22.0,29.0,57.0,0.688,1.35
W (59-32),1,23,75.0,389,4,30,140,2,4.7,62,8.5,15,8,0,23,9,83,0,1,0.191,1,5.63,72.9,1.0,23.0,18.0,52.0,0.7,1.35
W (36-33),1,23,74.4,316,4,23,99,1,4.3,61,6.8,16,6,2,24,5,45,0,1,0.083,1,5.83,71.9,0.0,26.0,10.0,75.0,0.508,1.42
W (42-33),2,21,71.9,369,4,27,91,2,3.4,64,7.2,14,6,3,23,7,78,1,1,0.15,0,5.0,64.6,1.0,26.0,6.0,83.0,0.476,1.26
W (35-28),1,24,75.0,332,2,33,125,2,3.8,75,6.1,14,9,4,27,11,100,1,0,0.164,1,4.25,65.1,0.8,32.0,37.0,100.0,0.419,1.51
W (24-21),1,18,60.5,204,2,30,102,1,3.4,63,4.9,7,8,2,17,7,49,0,1,0.149,1,4.8,71.3,0.727,21.0,14.0,94.0,0.548,0.86
W (37-31),1,29,64.3,430,2,31,102,2,3.3,70,7.6,17,6,2,25,5,39,1,0,0.239,1,4.11,70.8,0.625,20.0,12.0,75.0,0.543,1.09
W (38-30),0,32,86.8,359,2,31,113,1,3.6,75,6.3,13,7,1,21,14,124,0,0,0.171,0,3.83,71.5,0.5,26.0,9.0,88.0,0.473,1.21
W (42-6),1,30,72.7,282,3,38,240,3,6.3,73,7.2,13,13,4,30,9,80,0,1,0.542,1,6.0,72.6,1.0,47.0,51.0,79.0,0.617,1.24
L (33-36),0,33,76.5,337,2,40,204,2,5.1,84,6.4,17,12,3,32,5,55,0,0,0.148,0,3.88,74.6,0.833,63.0,13.0,156.0,0.5,1.11
W (35-6),1,24,85.7,248,2,27,142,3,5.3,58,6.7,12,6,0,18,8,58,1,0,0.227,0,5.6,70.9,1.0,31.0,10.0,85.0,0.636,1.1
W (36-27),0,23,84.8,412,4,31,140,1,4.5,63,8.8,15,8,3,26,13,120,0,0,0.138,1,4.0,73.8,0.5,40.0,15.0,101.0,0.54,1.32
W (31-7),0,33,75.0,367,2,28,113,2,4.0,68,7.1,19,9,0,28,6,65,0,0,0.229,1,4.0,69.6,0.714,26.0,11.0,79.0,0.638,1.1
W (45-6),0,33,72.0,401,5,29,183,1,6.3,71,8.2,18,8,2,28,2,20,0,0,0.333,1,5.63,74.0,1.0,28.0,45.0,67.0,0.659,1.34
W (63-7),0,25,73.3,226,2,60,315,6,5.3,91,5.9,12,19,3,34,7,55,0,0,0.5,1,6.22,62.1,1.0,30.0,17.0,138.0,0.667,0.87
W (31-0),0,26,80.6,182,4,57,215,0,3.8,97,4.1,10,16,2,28,4,45,0,0,0.6,1,4.43,71.5,1.0,17.0,9.0,110.0,0.421,1.01
L (12-20),0,18,40,191,1,26,49,0,1.9,68,3.5,10,3,2,15,5,32,0,0,0.197,0,3.25,74.6,0.5,20.0,24.0,53.0,0.309,1.12
W (51-15),0,26,34,246,4,37,158,2,4.3,76,5.3,13,11,1,25,7,76,0,0,0.419,0,5.67,57.3,1.0,35.0,23.0,104.0,0.524,1.15
W (27-6),1,7,23,88,0,39,234,3,6.0,53,6.1,4,11,1,16,1,2,1,0,0.19,1,3.86,62.9,0.667,49.0,59.0,142.0,0.509,0.96
L (25-38),2,20,42,343,3,28,163,0,5.8,68,7.4,13,8,0,21,6,50,1,1,0.148,1,3.4,77.7,1.0,48.0,47.0,87.0,0.412,1.67
W (66-14),1,25,68.6,453,6,20,215,2,10.8,54,12.4,19,7,2,28,8,75,1,0,0.375,1,5.43,68.3,1.0,27.0,72.0,56.0,0.649,1.67
W (42-28),1,20,73.5,322,3,29,213,2,7.3,60,8.9,13,8,1,22,10,85,1,0,0.271,0,4.86,67.9,1.0,58.0,84.0,108.0,0.542,1.38
W (43-41),1,14,83.3,219,1,33,146,5,4.4,58,6.3,7,8,8,23,8,72,1,0,0.182,1,4.67,69.8,1.0,43.0,45.0,94.0,0.431,1.52
L (32-34),1,24,64.5,256,0,23,145,3,6.3,58,6.9,11,7,0,18,6,47,1,0,0.13,1,5.0,73.6,0.333,44.0,52.0,76.0,0.483,1.2
L (42-52),1,27,75.0,312,3,27,203,3,7.5,63,8.2,11,12,1,24,6,65,1,0,0.096,1,5.83,72.2,0.875,61.0,83.0,112.0,0.619,1.23
L (20-38),3,31,56.0,384,1,22,3,1,0.1,66,5.9,14,1,2,17,6,52,2,1,0.132,1,3.25,78.2,0.25,14.0,1.0,40.0,0.339,1.48
W (56-3),1,24,80.0,336,4,33,221,3,6.7,63,8.8,15,10,1,26,4,36,1,0,0.387,1,7.0,72.3,0.5,28.0,68.0,62.0,0.639,1.61
W (41-17),0,17,80.0,342,3,37,236,2,6.4,65,8.9,10,13,0,23,8,72,0,0,0.0,1,5.4,77.1,0.625,64.0,124.0,124.0,0.542,1.61
W (21-14),0,15,62.5,222,0,32,159,2,5.0,63,6.0,8,6,2,16,12,70,0,0,0.149,0,2.86,65.7,1.0,31.0,56.0,104.0,0.286,2.02
W (48-20),0,13,60.7,126,2,29,125,2,4.3,49,5.1,6,7,0,13,5,54,0,0,0.31,1,4.5,53.8,0.667,28.0,13.0,85.0,0.4,1.16
